Algoritmo,Cenario,TempoExecucao
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1294
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2275
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,371765
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1525
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1221
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2311
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,381349
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1431
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1243
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2224
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,373174
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1438
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1206
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2189
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,379163
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1450
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1238
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2350
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,371711
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1519
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1229
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2411
Bubble Sort,Cenário 1 - Vetor ordenado crescente,44074741
Merge Sort,Cenário 1 - Vetor ordenado crescente,30420
Quick Sort,Cenário 1 - Vetor ordenado crescente,17728
Shell Sort,Cenário 1 - Vetor ordenado crescente,44433
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43768083
Merge Sort,Cenário 1 - Vetor ordenado crescente,22459
Quick Sort,Cenário 1 - Vetor ordenado crescente,18587
Shell Sort,Cenário 1 - Vetor ordenado crescente,43536
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43784962
Merge Sort,Cenário 1 - Vetor ordenado crescente,21108
Quick Sort,Cenário 1 - Vetor ordenado crescente,18010
Shell Sort,Cenário 1 - Vetor ordenado crescente,41097
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43856109
Merge Sort,Cenário 1 - Vetor ordenado crescente,22401
Quick Sort,Cenário 1 - Vetor ordenado crescente,19315
Shell Sort,Cenário 1 - Vetor ordenado crescente,42977
Bubble Sort,Cenário 1 - Vetor ordenado crescente,44060772
Merge Sort,Cenário 1 - Vetor ordenado crescente,22135
Quick Sort,Cenário 1 - Vetor ordenado crescente,19260
Shell Sort,Cenário 1 - Vetor ordenado crescente,45198
Bubble Sort,Cenário 1 - Vetor ordenado crescente,44282592
Merge Sort,Cenário 1 - Vetor ordenado crescente,20946
Quick Sort,Cenário 1 - Vetor ordenado crescente,17811
Shell Sort,Cenário 1 - Vetor ordenado crescente,42543
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43796126
Merge Sort,Cenário 1 - Vetor ordenado crescente,20635
Quick Sort,Cenário 1 - Vetor ordenado crescente,16930
Shell Sort,Cenário 1 - Vetor ordenado crescente,40595
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43816223
Merge Sort,Cenário 1 - Vetor ordenado crescente,22881
Quick Sort,Cenário 1 - Vetor ordenado crescente,19962
Shell Sort,Cenário 1 - Vetor ordenado crescente,51130
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43785406
Merge Sort,Cenário 1 - Vetor ordenado crescente,20496
Quick Sort,Cenário 1 - Vetor ordenado crescente,17777
Shell Sort,Cenário 1 - Vetor ordenado crescente,46219
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43806753
Merge Sort,Cenário 1 - Vetor ordenado crescente,21067
Quick Sort,Cenário 1 - Vetor ordenado crescente,18519
Shell Sort,Cenário 1 - Vetor ordenado crescente,45410
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43845664
Merge Sort,Cenário 1 - Vetor ordenado crescente,20022
Quick Sort,Cenário 1 - Vetor ordenado crescente,18368
Shell Sort,Cenário 1 - Vetor ordenado crescente,42430
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43836132
Merge Sort,Cenário 1 - Vetor ordenado crescente,20400
Quick Sort,Cenário 1 - Vetor ordenado crescente,17762
Shell Sort,Cenário 1 - Vetor ordenado crescente,42332
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43654490
Merge Sort,Cenário 1 - Vetor ordenado crescente,19398
Quick Sort,Cenário 1 - Vetor ordenado crescente,18809
Shell Sort,Cenário 1 - Vetor ordenado crescente,41357
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43617644
Merge Sort,Cenário 1 - Vetor ordenado crescente,20827
Quick Sort,Cenário 1 - Vetor ordenado crescente,18141
Shell Sort,Cenário 1 - Vetor ordenado crescente,42671
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43610024
Merge Sort,Cenário 1 - Vetor ordenado crescente,21311
Quick Sort,Cenário 1 - Vetor ordenado crescente,18236
Shell Sort,Cenário 1 - Vetor ordenado crescente,42786
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43720702
Merge Sort,Cenário 1 - Vetor ordenado crescente,22304
Quick Sort,Cenário 1 - Vetor ordenado crescente,19348
Shell Sort,Cenário 1 - Vetor ordenado crescente,44929
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43571758
Merge Sort,Cenário 1 - Vetor ordenado crescente,22599
Quick Sort,Cenário 1 - Vetor ordenado crescente,18945
Shell Sort,Cenário 1 - Vetor ordenado crescente,44291
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43737256
Merge Sort,Cenário 1 - Vetor ordenado crescente,22086
Quick Sort,Cenário 1 - Vetor ordenado crescente,17171
Shell Sort,Cenário 1 - Vetor ordenado crescente,41099
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43834385
Merge Sort,Cenário 1 - Vetor ordenado crescente,20903
Quick Sort,Cenário 1 - Vetor ordenado crescente,17596
Shell Sort,Cenário 1 - Vetor ordenado crescente,42044
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43792628
Merge Sort,Cenário 1 - Vetor ordenado crescente,22517
Quick Sort,Cenário 1 - Vetor ordenado crescente,18850
Shell Sort,Cenário 1 - Vetor ordenado crescente,41572
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43926718
Merge Sort,Cenário 1 - Vetor ordenado crescente,20983
Quick Sort,Cenário 1 - Vetor ordenado crescente,17187
Shell Sort,Cenário 1 - Vetor ordenado crescente,41140
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43925143
Merge Sort,Cenário 1 - Vetor ordenado crescente,21230
Quick Sort,Cenário 1 - Vetor ordenado crescente,16949
Shell Sort,Cenário 1 - Vetor ordenado crescente,44235
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43674152
Merge Sort,Cenário 1 - Vetor ordenado crescente,21573
Quick Sort,Cenário 1 - Vetor ordenado crescente,17141
Shell Sort,Cenário 1 - Vetor ordenado crescente,50287
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43828456
Merge Sort,Cenário 1 - Vetor ordenado crescente,21146
Quick Sort,Cenário 1 - Vetor ordenado crescente,17975
Shell Sort,Cenário 1 - Vetor ordenado crescente,43937
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43622050
Merge Sort,Cenário 1 - Vetor ordenado crescente,19369
Quick Sort,Cenário 1 - Vetor ordenado crescente,17664
Shell Sort,Cenário 1 - Vetor ordenado crescente,43773
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43963272
Merge Sort,Cenário 1 - Vetor ordenado crescente,23336
Quick Sort,Cenário 1 - Vetor ordenado crescente,17925
Shell Sort,Cenário 1 - Vetor ordenado crescente,40931
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43736881
Merge Sort,Cenário 1 - Vetor ordenado crescente,23871
Quick Sort,Cenário 1 - Vetor ordenado crescente,17472
Shell Sort,Cenário 1 - Vetor ordenado crescente,41014
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43673430
Merge Sort,Cenário 1 - Vetor ordenado crescente,24635
Quick Sort,Cenário 1 - Vetor ordenado crescente,19061
Shell Sort,Cenário 1 - Vetor ordenado crescente,45047
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43670275
Merge Sort,Cenário 1 - Vetor ordenado crescente,22761
Quick Sort,Cenário 1 - Vetor ordenado crescente,21957
Shell Sort,Cenário 1 - Vetor ordenado crescente,62464
Bubble Sort,Cenário 1 - Vetor ordenado crescente,43608493
Merge Sort,Cenário 1 - Vetor ordenado crescente,23987
Quick Sort,Cenário 1 - Vetor ordenado crescente,18499
Shell Sort,Cenário 1 - Vetor ordenado crescente,40127
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44443106
Merge Sort,Cenário 2 - Vetor ordenado decrescente,20935
Quick Sort,Cenário 2 - Vetor ordenado decrescente,17856
Shell Sort,Cenário 2 - Vetor ordenado decrescente,43276
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44367871
Merge Sort,Cenário 2 - Vetor ordenado decrescente,21467
Quick Sort,Cenário 2 - Vetor ordenado decrescente,18533
Shell Sort,Cenário 2 - Vetor ordenado decrescente,44458
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44364085
Merge Sort,Cenário 2 - Vetor ordenado decrescente,22086
Quick Sort,Cenário 2 - Vetor ordenado decrescente,17605
Shell Sort,Cenário 2 - Vetor ordenado decrescente,49443
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44309216
Merge Sort,Cenário 2 - Vetor ordenado decrescente,21462
Quick Sort,Cenário 2 - Vetor ordenado decrescente,17347
Shell Sort,Cenário 2 - Vetor ordenado decrescente,42395
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44227189
Merge Sort,Cenário 2 - Vetor ordenado decrescente,21583
Quick Sort,Cenário 2 - Vetor ordenado decrescente,19543
Shell Sort,Cenário 2 - Vetor ordenado decrescente,43233
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44270680
Merge Sort,Cenário 2 - Vetor ordenado decrescente,22005
Quick Sort,Cenário 2 - Vetor ordenado decrescente,18558
Shell Sort,Cenário 2 - Vetor ordenado decrescente,44431
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44335518
Merge Sort,Cenário 2 - Vetor ordenado decrescente,22921
Quick Sort,Cenário 2 - Vetor ordenado decrescente,17272
Shell Sort,Cenário 2 - Vetor ordenado decrescente,41065
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44392318
Merge Sort,Cenário 2 - Vetor ordenado decrescente,21748
Quick Sort,Cenário 2 - Vetor ordenado decrescente,17159
Shell Sort,Cenário 2 - Vetor ordenado decrescente,51387
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44437942
Merge Sort,Cenário 2 - Vetor ordenado decrescente,21436
Quick Sort,Cenário 2 - Vetor ordenado decrescente,19717
Shell Sort,Cenário 2 - Vetor ordenado decrescente,41715
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44239822
Merge Sort,Cenário 2 - Vetor ordenado decrescente,22490
Quick Sort,Cenário 2 - Vetor ordenado decrescente,17463
Shell Sort,Cenário 2 - Vetor ordenado decrescente,43928
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44273626
Merge Sort,Cenário 2 - Vetor ordenado decrescente,21186
Quick Sort,Cenário 2 - Vetor ordenado decrescente,18867
Shell Sort,Cenário 2 - Vetor ordenado decrescente,43808
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44536216
Merge Sort,Cenário 2 - Vetor ordenado decrescente,20959
Quick Sort,Cenário 2 - Vetor ordenado decrescente,18742
Shell Sort,Cenário 2 - Vetor ordenado decrescente,40782
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44588712
Merge Sort,Cenário 2 - Vetor ordenado decrescente,21354
Quick Sort,Cenário 2 - Vetor ordenado decrescente,17278
Shell Sort,Cenário 2 - Vetor ordenado decrescente,43056
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44403978
Merge Sort,Cenário 2 - Vetor ordenado decrescente,21844
Quick Sort,Cenário 2 - Vetor ordenado decrescente,18171
Shell Sort,Cenário 2 - Vetor ordenado decrescente,40018
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44285872
Merge Sort,Cenário 2 - Vetor ordenado decrescente,21898
Quick Sort,Cenário 2 - Vetor ordenado decrescente,19395
Shell Sort,Cenário 2 - Vetor ordenado decrescente,41714
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44202487
Merge Sort,Cenário 2 - Vetor ordenado decrescente,23264
Quick Sort,Cenário 2 - Vetor ordenado decrescente,18946
Shell Sort,Cenário 2 - Vetor ordenado decrescente,43691
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44151032
Merge Sort,Cenário 2 - Vetor ordenado decrescente,22189
Quick Sort,Cenário 2 - Vetor ordenado decrescente,18880
Shell Sort,Cenário 2 - Vetor ordenado decrescente,49038
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44265602
Merge Sort,Cenário 2 - Vetor ordenado decrescente,20570
Quick Sort,Cenário 2 - Vetor ordenado decrescente,18344
Shell Sort,Cenário 2 - Vetor ordenado decrescente,42260
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44218799
Merge Sort,Cenário 2 - Vetor ordenado decrescente,22464
Quick Sort,Cenário 2 - Vetor ordenado decrescente,18136
Shell Sort,Cenário 2 - Vetor ordenado decrescente,42731
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44142521
Merge Sort,Cenário 2 - Vetor ordenado decrescente,22713
Quick Sort,Cenário 2 - Vetor ordenado decrescente,18402
Shell Sort,Cenário 2 - Vetor ordenado decrescente,41081
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44034273
Merge Sort,Cenário 2 - Vetor ordenado decrescente,19962
Quick Sort,Cenário 2 - Vetor ordenado decrescente,17998
Shell Sort,Cenário 2 - Vetor ordenado decrescente,43877
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44343922
Merge Sort,Cenário 2 - Vetor ordenado decrescente,22025
Quick Sort,Cenário 2 - Vetor ordenado decrescente,17862
Shell Sort,Cenário 2 - Vetor ordenado decrescente,42081
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44243977
Merge Sort,Cenário 2 - Vetor ordenado decrescente,20899
Quick Sort,Cenário 2 - Vetor ordenado decrescente,18812
Shell Sort,Cenário 2 - Vetor ordenado decrescente,40488
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44316595
Merge Sort,Cenário 2 - Vetor ordenado decrescente,21650
Quick Sort,Cenário 2 - Vetor ordenado decrescente,18174
Shell Sort,Cenário 2 - Vetor ordenado decrescente,42363
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44315609
Merge Sort,Cenário 2 - Vetor ordenado decrescente,22405
Quick Sort,Cenário 2 - Vetor ordenado decrescente,18203
Shell Sort,Cenário 2 - Vetor ordenado decrescente,47082
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44226529
Merge Sort,Cenário 2 - Vetor ordenado decrescente,20613
Quick Sort,Cenário 2 - Vetor ordenado decrescente,17980
Shell Sort,Cenário 2 - Vetor ordenado decrescente,40757
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44274666
Merge Sort,Cenário 2 - Vetor ordenado decrescente,21040
Quick Sort,Cenário 2 - Vetor ordenado decrescente,18742
Shell Sort,Cenário 2 - Vetor ordenado decrescente,43204
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44367351
Merge Sort,Cenário 2 - Vetor ordenado decrescente,23596
Quick Sort,Cenário 2 - Vetor ordenado decrescente,21027
Shell Sort,Cenário 2 - Vetor ordenado decrescente,50539
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44255965
Merge Sort,Cenário 2 - Vetor ordenado decrescente,21936
Quick Sort,Cenário 2 - Vetor ordenado decrescente,19654
Shell Sort,Cenário 2 - Vetor ordenado decrescente,40905
Bubble Sort,Cenário 2 - Vetor ordenado decrescente,44299396
Merge Sort,Cenário 2 - Vetor ordenado decrescente,21474
Quick Sort,Cenário 2 - Vetor ordenado decrescente,17300
Shell Sort,Cenário 2 - Vetor ordenado decrescente,41339
Bubble Sort,Cenário 3 - Vetor aleatório,43682041
Merge Sort,Cenário 3 - Vetor aleatório,21296
Quick Sort,Cenário 3 - Vetor aleatório,18793
Shell Sort,Cenário 3 - Vetor aleatório,43047
Bubble Sort,Cenário 3 - Vetor aleatório,44100112
Merge Sort,Cenário 3 - Vetor aleatório,21931
Quick Sort,Cenário 3 - Vetor aleatório,18939
Shell Sort,Cenário 3 - Vetor aleatório,41682
Bubble Sort,Cenário 3 - Vetor aleatório,43835098
Merge Sort,Cenário 3 - Vetor aleatório,21326
Quick Sort,Cenário 3 - Vetor aleatório,17879
Shell Sort,Cenário 3 - Vetor aleatório,43232
Bubble Sort,Cenário 3 - Vetor aleatório,43620317
Merge Sort,Cenário 3 - Vetor aleatório,21676
Quick Sort,Cenário 3 - Vetor aleatório,19124
Shell Sort,Cenário 3 - Vetor aleatório,41556
Bubble Sort,Cenário 3 - Vetor aleatório,43628030
Merge Sort,Cenário 3 - Vetor aleatório,21344
Quick Sort,Cenário 3 - Vetor aleatório,18953
Shell Sort,Cenário 3 - Vetor aleatório,42157
Bubble Sort,Cenário 3 - Vetor aleatório,43630367
Merge Sort,Cenário 3 - Vetor aleatório,21386
Quick Sort,Cenário 3 - Vetor aleatório,17421
Shell Sort,Cenário 3 - Vetor aleatório,46361
Bubble Sort,Cenário 3 - Vetor aleatório,43814829
Merge Sort,Cenário 3 - Vetor aleatório,22831
Quick Sort,Cenário 3 - Vetor aleatório,19839
Shell Sort,Cenário 3 - Vetor aleatório,46477
Bubble Sort,Cenário 3 - Vetor aleatório,43594319
Merge Sort,Cenário 3 - Vetor aleatório,20861
Quick Sort,Cenário 3 - Vetor aleatório,17589
Shell Sort,Cenário 3 - Vetor aleatório,42223
Bubble Sort,Cenário 3 - Vetor aleatório,43418794
Merge Sort,Cenário 3 - Vetor aleatório,23262
Quick Sort,Cenário 3 - Vetor aleatório,19944
Shell Sort,Cenário 3 - Vetor aleatório,44100
Bubble Sort,Cenário 3 - Vetor aleatório,43913910
Merge Sort,Cenário 3 - Vetor aleatório,20641
Quick Sort,Cenário 3 - Vetor aleatório,19582
Shell Sort,Cenário 3 - Vetor aleatório,44831
Bubble Sort,Cenário 3 - Vetor aleatório,43139447
Merge Sort,Cenário 3 - Vetor aleatório,23334
Quick Sort,Cenário 3 - Vetor aleatório,17336
Shell Sort,Cenário 3 - Vetor aleatório,42040
Bubble Sort,Cenário 3 - Vetor aleatório,43288070
Merge Sort,Cenário 3 - Vetor aleatório,20409
Quick Sort,Cenário 3 - Vetor aleatório,17563
Shell Sort,Cenário 3 - Vetor aleatório,43348
Bubble Sort,Cenário 3 - Vetor aleatório,43835772
Merge Sort,Cenário 3 - Vetor aleatório,21662
Quick Sort,Cenário 3 - Vetor aleatório,18088
Shell Sort,Cenário 3 - Vetor aleatório,41630
Bubble Sort,Cenário 3 - Vetor aleatório,43769272
Merge Sort,Cenário 3 - Vetor aleatório,21456
Quick Sort,Cenário 3 - Vetor aleatório,17807
Shell Sort,Cenário 3 - Vetor aleatório,41214
Bubble Sort,Cenário 3 - Vetor aleatório,43905021
Merge Sort,Cenário 3 - Vetor aleatório,24086
Quick Sort,Cenário 3 - Vetor aleatório,17955
Shell Sort,Cenário 3 - Vetor aleatório,42013
Bubble Sort,Cenário 3 - Vetor aleatório,43859568
Merge Sort,Cenário 3 - Vetor aleatório,20152
Quick Sort,Cenário 3 - Vetor aleatório,17853
Shell Sort,Cenário 3 - Vetor aleatório,44412
Bubble Sort,Cenário 3 - Vetor aleatório,43794992
Merge Sort,Cenário 3 - Vetor aleatório,22126
Quick Sort,Cenário 3 - Vetor aleatório,18285
Shell Sort,Cenário 3 - Vetor aleatório,41906
Bubble Sort,Cenário 3 - Vetor aleatório,43767638
Merge Sort,Cenário 3 - Vetor aleatório,22204
Quick Sort,Cenário 3 - Vetor aleatório,19009
Shell Sort,Cenário 3 - Vetor aleatório,44142
Bubble Sort,Cenário 3 - Vetor aleatório,43841942
Merge Sort,Cenário 3 - Vetor aleatório,21502
Quick Sort,Cenário 3 - Vetor aleatório,18110
Shell Sort,Cenário 3 - Vetor aleatório,39903
Bubble Sort,Cenário 3 - Vetor aleatório,43820630
Merge Sort,Cenário 3 - Vetor aleatório,21636
Quick Sort,Cenário 3 - Vetor aleatório,18571
Shell Sort,Cenário 3 - Vetor aleatório,41204
Bubble Sort,Cenário 3 - Vetor aleatório,43744055
Merge Sort,Cenário 3 - Vetor aleatório,21522
Quick Sort,Cenário 3 - Vetor aleatório,19451
Shell Sort,Cenário 3 - Vetor aleatório,44607
Bubble Sort,Cenário 3 - Vetor aleatório,43839289
Merge Sort,Cenário 3 - Vetor aleatório,21719
Quick Sort,Cenário 3 - Vetor aleatório,17997
Shell Sort,Cenário 3 - Vetor aleatório,43254
Bubble Sort,Cenário 3 - Vetor aleatório,44174538
Merge Sort,Cenário 3 - Vetor aleatório,22065
Quick Sort,Cenário 3 - Vetor aleatório,18477
Shell Sort,Cenário 3 - Vetor aleatório,52146
Bubble Sort,Cenário 3 - Vetor aleatório,43733860
Merge Sort,Cenário 3 - Vetor aleatório,21657
Quick Sort,Cenário 3 - Vetor aleatório,18333
Shell Sort,Cenário 3 - Vetor aleatório,44077
Bubble Sort,Cenário 3 - Vetor aleatório,43532696
Merge Sort,Cenário 3 - Vetor aleatório,20971
Quick Sort,Cenário 3 - Vetor aleatório,17494
Shell Sort,Cenário 3 - Vetor aleatório,44884
Bubble Sort,Cenário 3 - Vetor aleatório,43630790
Merge Sort,Cenário 3 - Vetor aleatório,22889
Quick Sort,Cenário 3 - Vetor aleatório,18559
Shell Sort,Cenário 3 - Vetor aleatório,44873
Bubble Sort,Cenário 3 - Vetor aleatório,44081701
Merge Sort,Cenário 3 - Vetor aleatório,21121
Quick Sort,Cenário 3 - Vetor aleatório,17928
Shell Sort,Cenário 3 - Vetor aleatório,43589
Bubble Sort,Cenário 3 - Vetor aleatório,43622866
Merge Sort,Cenário 3 - Vetor aleatório,22243
Quick Sort,Cenário 3 - Vetor aleatório,18778
Shell Sort,Cenário 3 - Vetor aleatório,42322
Bubble Sort,Cenário 3 - Vetor aleatório,43817186
Merge Sort,Cenário 3 - Vetor aleatório,23738
Quick Sort,Cenário 3 - Vetor aleatório,18750
Shell Sort,Cenário 3 - Vetor aleatório,41004
Bubble Sort,Cenário 3 - Vetor aleatório,43662099
Merge Sort,Cenário 3 - Vetor aleatório,21216
Quick Sort,Cenário 3 - Vetor aleatório,17447
Shell Sort,Cenário 3 - Vetor aleatório,42583
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,52929104
Merge Sort,Cenário 4 - Vetor de strings aleatórias,42111
Quick Sort,Cenário 4 - Vetor de strings aleatórias,23403
Shell Sort,Cenário 4 - Vetor de strings aleatórias,58546
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43866404
Merge Sort,Cenário 4 - Vetor de strings aleatórias,21096
Quick Sort,Cenário 4 - Vetor de strings aleatórias,18088
Shell Sort,Cenário 4 - Vetor de strings aleatórias,40941
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43786535
Merge Sort,Cenário 4 - Vetor de strings aleatórias,21219
Quick Sort,Cenário 4 - Vetor de strings aleatórias,18080
Shell Sort,Cenário 4 - Vetor de strings aleatórias,42781
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43683839
Merge Sort,Cenário 4 - Vetor de strings aleatórias,21707
Quick Sort,Cenário 4 - Vetor de strings aleatórias,19035
Shell Sort,Cenário 4 - Vetor de strings aleatórias,41211
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43504371
Merge Sort,Cenário 4 - Vetor de strings aleatórias,20449
Quick Sort,Cenário 4 - Vetor de strings aleatórias,17322
Shell Sort,Cenário 4 - Vetor de strings aleatórias,41095
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43208227
Merge Sort,Cenário 4 - Vetor de strings aleatórias,21758
Quick Sort,Cenário 4 - Vetor de strings aleatórias,19307
Shell Sort,Cenário 4 - Vetor de strings aleatórias,40929
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43114041
Merge Sort,Cenário 4 - Vetor de strings aleatórias,22372
Quick Sort,Cenário 4 - Vetor de strings aleatórias,17687
Shell Sort,Cenário 4 - Vetor de strings aleatórias,40334
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43167962
Merge Sort,Cenário 4 - Vetor de strings aleatórias,20093
Quick Sort,Cenário 4 - Vetor de strings aleatórias,17274
Shell Sort,Cenário 4 - Vetor de strings aleatórias,41392
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43290689
Merge Sort,Cenário 4 - Vetor de strings aleatórias,20554
Quick Sort,Cenário 4 - Vetor de strings aleatórias,17595
Shell Sort,Cenário 4 - Vetor de strings aleatórias,41892
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43748728
Merge Sort,Cenário 4 - Vetor de strings aleatórias,20787
Quick Sort,Cenário 4 - Vetor de strings aleatórias,17476
Shell Sort,Cenário 4 - Vetor de strings aleatórias,42982
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43737466
Merge Sort,Cenário 4 - Vetor de strings aleatórias,25439
Quick Sort,Cenário 4 - Vetor de strings aleatórias,20913
Shell Sort,Cenário 4 - Vetor de strings aleatórias,47336
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43733973
Merge Sort,Cenário 4 - Vetor de strings aleatórias,22320
Quick Sort,Cenário 4 - Vetor de strings aleatórias,19459
Shell Sort,Cenário 4 - Vetor de strings aleatórias,43815
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43954292
Merge Sort,Cenário 4 - Vetor de strings aleatórias,20867
Quick Sort,Cenário 4 - Vetor de strings aleatórias,18357
Shell Sort,Cenário 4 - Vetor de strings aleatórias,40986
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43904310
Merge Sort,Cenário 4 - Vetor de strings aleatórias,21681
Quick Sort,Cenário 4 - Vetor de strings aleatórias,18379
Shell Sort,Cenário 4 - Vetor de strings aleatórias,41655
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43802152
Merge Sort,Cenário 4 - Vetor de strings aleatórias,21707
Quick Sort,Cenário 4 - Vetor de strings aleatórias,18123
Shell Sort,Cenário 4 - Vetor de strings aleatórias,44141
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43723574
Merge Sort,Cenário 4 - Vetor de strings aleatórias,20899
Quick Sort,Cenário 4 - Vetor de strings aleatórias,17510
Shell Sort,Cenário 4 - Vetor de strings aleatórias,41490
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43614217
Merge Sort,Cenário 4 - Vetor de strings aleatórias,21682
Quick Sort,Cenário 4 - Vetor de strings aleatórias,19707
Shell Sort,Cenário 4 - Vetor de strings aleatórias,46559
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43881392
Merge Sort,Cenário 4 - Vetor de strings aleatórias,20657
Quick Sort,Cenário 4 - Vetor de strings aleatórias,18352
Shell Sort,Cenário 4 - Vetor de strings aleatórias,46514
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43662277
Merge Sort,Cenário 4 - Vetor de strings aleatórias,21031
Quick Sort,Cenário 4 - Vetor de strings aleatórias,17925
Shell Sort,Cenário 4 - Vetor de strings aleatórias,40231
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43596507
Merge Sort,Cenário 4 - Vetor de strings aleatórias,21322
Quick Sort,Cenário 4 - Vetor de strings aleatórias,17546
Shell Sort,Cenário 4 - Vetor de strings aleatórias,41033
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,43634162
